date,Year,Month,Day,Weekday,Hour,Load_MW,T_act,T_fcst,Team Blue
1-Jan-10,2010,1,1,6,1,847.344,43,,
1-Jan-10,2010,1,1,6,2,814.399,43,,
1-Jan-10,2010,1,1,6,3,787.005,43,,
1-Jan-10,2010,1,1,6,4,777.37,43,,
1-Jan-10,2010,1,1,6,5,785.709,43,,
1-Jan-10,2010,1,1,6,6,814.035,42,,
1-Jan-10,2010,1,1,6,7,854.481,42,,
1-Jan-10,2010,1,1,6,8,903.361,41,,
1-Jan-10,2010,1,1,6,9,974.009,42,,
1-Jan-10,2010,1,1,6,10,1042.921,44,,
1-Jan-10,2010,1,1,6,11,1086.559,47,,
1-Jan-10,2010,1,1,6,12,1111.806,47,,
1-Jan-10,2010,1,1,6,13,1111.369,46,,
1-Jan-10,2010,1,1,6,14,1085.827,47,,
1-Jan-10,2010,1,1,6,15,1062.021,47,,
1-Jan-10,2010,1,1,6,16,1047.339,47,,
1-Jan-10,2010,1,1,6,17,1066.322,46,,
1-Jan-10,2010,1,1,6,18,1182.889,43,,
1-Jan-10,2010,1,1,6,19,1263.594,41,,
1-Jan-10,2010,1,1,6,20,1289.67,40,,
1-Jan-10,2010,1,1,6,21,1310.325,38,,
1-Jan-10,2010,1,1,6,22,1312.694,35,,
1-Jan-10,2010,1,1,6,23,1293.141,34,,
1-Jan-10,2010,1,1,6,24,1267.828,32,,
2-Jan-10,2010,1,2,7,1,1256.181,29,,
2-Jan-10,2010,1,2,7,2,1276.29,27,,
2-Jan-10,2010,1,2,7,3,1315.671,27,,
2-Jan-10,2010,1,2,7,4,1364.625,26,,
2-Jan-10,2010,1,2,7,5,1426.549,25,,
2-Jan-10,2010,1,2,7,6,1499.355,25,,
2-Jan-10,2010,1,2,7,7,1582.228,25,,
2-Jan-10,2010,1,2,7,8,1663.375,24,,
2-Jan-10,2010,1,2,7,9,1695.412,26,,
2-Jan-10,2010,1,2,7,10,1667.605,28,,
2-Jan-10,2010,1,2,7,11,1621.316,30,,
2-Jan-10,2010,1,2,7,12,1554.449,29,,
2-Jan-10,2010,1,2,7,13,1486.756,31,,
2-Jan-10,2010,1,2,7,14,1426.486,31,,
2-Jan-10,2010,1,2,7,15,1391.059,32,,
2-Jan-10,2010,1,2,7,16,1413.963,31,,
2-Jan-10,2010,1,2,7,17,1522.251,29,,
2-Jan-10,2010,1,2,7,18,1733.053,27,,
2-Jan-10,2010,1,2,7,19,1833.538,26,,
2-Jan-10,2010,1,2,7,20,1853.909,26,,
2-Jan-10,2010,1,2,7,21,1863.726,25,,
2-Jan-10,2010,1,2,7,22,1853.106,24,,
2-Jan-10,2010,1,2,7,23,1816.133,23,,
2-Jan-10,2010,1,2,7,24,1778.547,22,,
3-Jan-10,2010,1,3,1,1,1759.538,22,,
3-Jan-10,2010,1,3,1,2,1758.639,21,,
3-Jan-10,2010,1,3,1,3,1775.485,20,,
3-Jan-10,2010,1,3,1,4,1805.382,20,,
3-Jan-10,2010,1,3,1,5,1853.863,19,,
3-Jan-10,2010,1,3,1,6,1910.794,20,,
3-Jan-10,2010,1,3,1,7,1979.607,19,,
3-Jan-10,2010,1,3,1,8,2048.312,19,,
3-Jan-10,2010,1,3,1,9,2059.07,20,,
3-Jan-10,2010,1,3,1,10,1968.599,23,,
3-Jan-10,2010,1,3,1,11,1822.948,25,,
3-Jan-10,2010,1,3,1,12,1691.089,27,,
3-Jan-10,2010,1,3,1,13,1593.181,28,,
3-Jan-10,2010,1,3,1,14,1504.783,31,,
3-Jan-10,2010,1,3,1,15,1436.001,32,,
3-Jan-10,2010,1,3,1,16,1419.868,32,,
3-Jan-10,2010,1,3,1,17,1506.598,31,,
3-Jan-10,2010,1,3,1,18,1710.246,29,,
3-Jan-10,2010,1,3,1,19,1829.279,29,,
3-Jan-10,2010,1,3,1,20,1872.606,28,,
3-Jan-10,2010,1,3,1,21,1880.29,27,,
3-Jan-10,2010,1,3,1,22,1836.227,26,,
3-Jan-10,2010,1,3,1,23,1764.35,24,,
